Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
26,Alan Hurst,1975–1979,8,4,4,7,3*,,0/0,402,11,203,12,May-21,16.91,1,1,0,[29],Batsman
27,Terry Jenner,1975,1,1,0,12,12,12,0/0,64,1,28,0,,,0,0,0,[30],Batsman
28,Jeff Thomson,1975–1985,50,30,6,181,21,7.54,0/0,"2,696",37,"1,942",55,Apr-67,35.3,0,9,0,[31],Bowler
29,Rick McCosker,1975–1982,14,14,0,320,95,22.85,0/2,0,0,0,0,,,0,3,0,[32],Batsman
30,Alan Turner,1975,6,6,0,247,101,41.16,1/0,0,0,0,0,,,0,3,0,[33],Batsman
31,Gary Cosier,1975–1979,9,7,2,154,84,30.8,0/1,409,9,248,14,May-18,17.71,1,4,0,[34],Batsman
32,David Hookes,1977–1986,39,36,2,826,76,24.29,0/5,29,0,28,1,01-Feb,28,0,11,0,[35],Batsman
33,Mick Malone,1977–1982,10,7,3,36,15*,9,0/0,612,16,315,11,02-Sep,28.63,0,1,0,[36],Batsman
34,Kerry O'Keeffe,1977,2,2,1,16,16*,16,0/0,132,3,79,2,Jan-36,39.5,0,0,0,[37],Batsman
35,Len Pascoe,1977–1982,29,11,7,39,15*,9.75,0/0,"1,568",21,"1,066",53,May-30,20.11,1,6,0,[38],Bowler
36,Craig Serjeant,1977–1978,3,3,0,73,46,24.33,0/0,0,0,0,0,,,0,1,0,[39],Batsman
37,Kim Hughes,1977–1985,97,88,6,"1,968",98,24,0/17,1,0,4,0,,,0,27,0,[40],Batsman
38,Richie Robinson,1977,2,2,0,82,70,41,0/1,0,0,0,0,,,0,3,1,[41],Wicketkeeper
